num_iter,loss_batch
1,1.842738271
2,28.62267685
3,6.998960495
4,1.691561222
5,1.338033557
6,1.028766751
7,1.024489522
8,0.957227945
9,0.989828885
10,0.987021923
11,0.974921346
12,0.962331176
13,0.934452355
14,0.903995097
15,0.984026194
16,0.949418306
17,0.935024977
18,0.979158938
19,0.934458971
20,0.917693913
21,0.934831262
22,0.913629293
23,0.97700429
24,0.944364011
25,0.969243526
26,0.862558961
27,1.059935331
28,1.018895626
29,0.967045903
30,0.924969435
31,0.929703534
32,0.899828672
33,0.921568573
34,0.972589552
35,0.893930733
36,0.901008189
37,0.929962814
38,0.985851049
39,0.927846193
40,0.960390687
41,0.905230761
42,0.924863458
43,0.853707969
44,0.927015543
45,1.055616975
46,0.983693063
47,1.001689553
48,0.88301897
49,0.870550632
50,0.88888377
51,0.950098634
52,0.816690803
53,0.886923313
54,0.915792346
55,0.962369442
56,0.889699697
57,0.880121768
58,0.992531121
59,0.890194952
60,0.8795591
61,0.920339465
62,0.925017595
63,0.87649101
64,0.942680955
65,0.844236255
66,0.856443048
67,0.944290757
68,0.927998543
69,0.906143785
70,0.945311189
71,0.88231051
72,0.874265671
73,0.943970621
74,0.88463968
75,0.79651022
76,0.800050497
77,0.944908679
78,0.886156857
79,0.856497467
80,1.015971661
81,0.891682386
82,0.917575419
83,0.881574869
84,0.855491281
85,0.876319647
86,0.89136678
87,0.898654461
88,0.862688005
89,0.885406137
90,0.859651446
91,0.884300053
92,0.867119431
93,0.768807292
94,0.802151918
95,0.938841403
96,0.833750248
97,0.989568591
98,0.898676693
99,0.928871632
100,0.845880568
101,0.850351572
102,0.835715711
103,0.93472594
104,0.836952269
105,0.887241721
106,0.861709595
107,0.9534899
108,0.870498896
109,0.865376472
110,0.914959431
111,0.90916872
112,0.915825903
113,0.831636548
114,0.9034006
115,0.770356059
116,0.802489936
117,0.845850945
118,0.976286411
119,0.824056387
120,0.851448655
121,0.889650404
122,0.835214317
123,0.867320895
124,0.742598951
125,0.879274607
126,0.957735181
127,0.85959357
128,0.89026469
129,0.986171424
130,0.892981529
131,0.842574775
132,0.861339569
133,0.88282007
134,0.78915745
135,0.946221232
136,0.884627163
137,0.855885088
138,0.999162436
139,0.869392812
140,0.946056664
141,0.870365739
142,0.878320932
143,0.864721656
144,0.94966948
145,0.826438963
146,0.911617815
147,0.879925013
148,0.905507922
149,0.862560511
150,0.86859709
151,0.920763016
152,0.893947244
153,0.839221239
154,0.888431191
155,0.907673597
156,0.849500954
157,0.817082584
158,0.820663333
159,0.800666332
160,0.73807466
161,0.874722362
162,0.908134699
163,0.85520035
164,0.816205263
165,0.8569507
166,0.850938082
167,0.907513618
168,0.921667814
169,0.952832103
170,0.9104653
171,0.869546294
172,0.899051309
173,0.837418854
174,0.88389945
175,0.785563946
176,0.815408707
177,0.854038954
178,0.917068303
179,0.932756066
180,0.904922605
181,0.813221097
182,0.882806242
183,0.879840732
184,0.814971447
185,0.889851868
186,0.841086566
187,0.887999177
188,0.829759598
189,0.813389242
190,0.877801836
191,0.87785697
192,0.872118473
193,0.88030225
194,0.815350831
195,0.842296481
196,0.903546393
197,0.94745636
198,0.90439409
199,0.910962284
200,0.910664737
201,0.8609128
202,0.927560568
203,0.902614713
204,0.930207193
205,0.908688962
206,0.825807989
207,0.790619493
208,0.818738937
209,0.670500457
210,0.838819802
211,0.840763092
212,0.939716876
213,0.90801245
214,0.894455194
215,0.850190639
216,0.895768762
217,0.893884718
218,0.878636718
219,0.855931759
220,0.813850045
221,0.87977016
222,0.93583101
223,0.873240232
224,0.828820109
225,0.873449028
226,0.805266857
227,0.882491231
228,0.97138983
229,0.870271087
230,0.891905427
231,0.815605104
232,0.850716472
233,0.91297698
234,0.866997242
235,0.803651631
236,0.857785523
237,0.913173854
238,0.841201127
239,0.888890922
240,0.86668694
241,0.83242029
242,0.798590243
243,0.859874368
244,0.880112767
245,0.892164469
246,0.848876357
247,0.85479033
248,0.790988624
249,0.890491962
250,0.890366852
251,0.825194061
252,0.805916786
253,0.940348506
254,0.80325073
255,0.925153553
256,0.892351329
257,0.743253827
258,0.818632901
259,1.114535451
260,0.969881296
261,0.891184926
262,0.874986649
263,0.848182976
264,0.984197676
265,0.889805079
266,0.922252238
267,0.881116211
268,0.835998714
269,0.882667482
270,0.952122808
271,0.897629857
272,0.854331434
273,0.869692326
274,0.906832457
275,0.899929702
276,0.873207808
277,0.878681123
